Year,State,Rate,Deaths,Name,Population,PovertyCount,PovertyRate,UnemploymentRate,NoCompletedEducation,PopulationWithHighSchoolDiploma,PopulationWithAssociatesDegree,PopulationWithBachelorsDegree,WhitePop,BlackPop,NativeAmericanPop,AsianPop,NativeHawaiianPop,HispanicPop,TwoOrMoreRacesPop
2015,LA,7.56,489,Louisiana,4664362.0,871467.0,18.683519846872947,3.023350245971475,37358.0,893660.0,194127.0,490514.0,2892275.0,1502963.0,26361.0,80806.0,1406.0,239164.0,94959.0
2019,ME,5.23,63,Maine,1335492.0,153131.0,11.466261123241472,2.165643822651128,5238.0,259470.0,97905.0,194761.0,1259522.0,18468.0,8660.0,15109.0,396.0,22100.0,29796.0
2018,ME,5.52,68,Maine,1335492.0,153131.0,11.466261123241472,2.165643822651128,5238.0,259470.0,97905.0,194761.0,1259522.0,18468.0,8660.0,15109.0,396.0,22100.0,29796.0
2017,ME,5.85,72,Maine,1335492.0,153131.0,11.466261123241472,2.165643822651128,5238.0,259470.0,97905.0,194761.0,1259522.0,18468.0,8660.0,15109.0,396.0,22100.0,29796.0
2016,ME,5.75,73,Maine,1335492.0,153131.0,11.466261123241472,2.165643822651128,5238.0,259470.0,97905.0,194761.0,1259522.0,18468.0,8660.0,15109.0,396.0,22100.0,29796.0
2015,ME,6.58,83,Maine,1335492.0,153131.0,11.466261123241472,2.165643822651128,5238.0,259470.0,97905.0,194761.0,1259522.0,18468.0,8660.0,15109.0,396.0,22100.0,29796.0
2019,MD,5.91,413,Maryland,6018848.0,539991.0,8.971667003386695,2.7313532423480376,52991.0,890361.0,277837.0,891511.0,3343003.0,1799094.0,16762.0,378126.0,3034.0,606482.0,206692.0
2018,MD,6.02,428,Maryland,6018848.0,539991.0,8.971667003386695,2.7313532423480376,52991.0,890361.0,277837.0,891511.0,3343003.0,1799094.0,16762.0,378126.0,3034.0,606482.0,206692.0
2017,MD,6.43,461,Maryland,6018848.0,539991.0,8.971667003386695,2.7313532423480376,52991.0,890361.0,277837.0,891511.0,3343003.0,1799094.0,16762.0,378126.0,3034.0,606482.0,206692.0
2016,MD,6.54,478,Maryland,6018848.0,539991.0,8.971667003386695,2.7313532423480376,52991.0,890361.0,277837.0,891511.0,3343003.0,1799094.0,16762.0,378126.0,3034.0,606482.0,206692.0
2015,MD,6.59,485,Maryland,6018848.0,539991.0,8.971667003386695,2.7313532423480376,52991.0,890361.0,277837.0,891511.0,3343003.0,1799094.0,16762.0,378126.0,3034.0,606482.0,206692.0
2019,MA,3.59,254,Massachusetts,6850553.0,680962.0,9.940248619345036,2.676499254877672,68431.0,1014308.0,363665.0,1151870.0,5348538.0,522357.0,14764.0,452436.0,2804.0,809179.0,223035.0
2018,MA,4.18,289,Massachusetts,6850553.0,680962.0,9.940248619345036,2.676499254877672,68431.0,1014308.0,363665.0,1151870.0,5348538.0,522357.0,14764.0,452436.0,2804.0,809179.0,223035.0
2017,MA,3.66,259,Massachusetts,6850553.0,680962.0,9.940248619345036,2.676499254877672,68431.0,1014308.0,363665.0,1151870.0,5348538.0,522357.0,14764.0,452436.0,2804.0,809179.0,223035.0
2016,MA,3.94,281,Massachusetts,6850553.0,680962.0,9.940248619345036,2.676499254877672,68431.0,1014308.0,363665.0,1151870.0,5348538.0,522357.0,14764.0,452436.0,2804.0,809179.0,223035.0
2015,MA,4.32,309,Massachusetts,6850553.0,680962.0,9.940248619345036,2.676499254877672,68431.0,1014308.0,363665.0,1151870.0,5348538.0,522357.0,14764.0,452436.0,2804.0,809179.0,223035.0
2019,MI,6.33,690,Michigan,9965265.0,1398527.0,14.034017158600399,2.949183990591319,71854.0,1695368.0,643446.0,1207829.0,7813755.0,1374314.0,53316.0,311721.0,3099.0,507353.0,291259.0
2018,MI,6.22,684,Michigan,9965265.0,1398527.0,14.034017158600399,2.949183990591319,71854.0,1695368.0,643446.0,1207829.0,7813755.0,1374314.0,53316.0,311721.0,3099.0,507353.0,291259.0
